scenario_id,mean_wind_speed,max_wind_speed,wind_velocity_x,wind_velocity_y,wind_velocity,wind_acceleration_x,wind_acceleration_y,wind_acceleration,wind_body_force_x,wind_body_force_y,wind_body_force,mean_wind_body_risk,mean_wind_gust_risk,mean_wind_risk_raw,min_thrust_margin_n,mean_estimation_uncertainty,gps_dropout_enabled,gps_dropout_start_sec,gps_dropout_duration_sec,moving_pad_enabled,moving_pad_amp_u,moving_pad_amp_v,moving_pad_freq_hz,mean_abs_roll_deg,mean_abs_pitch_deg,mean_abs_vz,max_abs_vz,mean_tag_error,max_tag_error,stability_std_z,stability_std_vz,mean_imu_ang_vel,max_imu_ang_vel,mean_imu_lin_acc,max_imu_lin_acc,wind_speed_cmd,wind_dir_cmd,hover_height_cmd,gt_safe_to_land,label,success,onto_wind_condition,onto_gust,onto_temporal_pattern,onto_drone_state,onto_tag_observation
1,2.09706102493333,2.83538246154785,-1.28474339869926,-1.63826778721077,2.09706102493333,0.00192634020845961,0.00455654292361522,0.00494700616671095,-0.0881026037939739,-0.143504107370345,0.172613844535536,0.0111387453281774,0.14524632699446,0.146161483073741,15.4144186002874,0.320644174689873,1,14.9605102736682,7.42651472357787,1,0.0717747328300573,0.112032227880748,0.270226572149888,0.933186540407978,1.55580731885717,0.0728492740228824,0.284831247113064,0.149149537608643,0.404071034920387,0.0448132432720039,0.144533091835556,NaN,NaN,NaN,NaN,2.1396688985117,-127.709262372896,2.31472368639318,unstable,unstable,0,0.588448569930302,0.167029274368832,0.172692049571281,0.944018982665761,0.333711316618381
2,2.24535090683235,3,-0.661116157394257,-2.11385013167418,2.24535090683235,0.0116951801178858,-0.00770318660960074,0.0140041537385207,-0.0320515503047433,-0.249163605689878,0.253082857390518,0.0163263998541564,0.226579922970014,0.227998264071759,15.4411986009793,0.240735206399862,1,5.7154305543397,9.52230065048163,0,0.17351263313697,0.0935814367554895,0.0879192518660575,0.83990559184278,1.00764534803594,0.044443928061991,0.323330857703849,0.255480164621988,0.269983460522879,0.00930285283974074,0.0356153220399616,NaN,NaN,NaN,NaN,2.4078142646114,-106.948920050051,1.67365262693684,stable,stable,1,0.644359894636312,0.172363474148117,0.120503711947327,0.963261564298529,0.286453260168005
3,1.86516118437109,2.91175293922424,-1.16346950027464,-1.4233009582801,1.86516118437109,-0.00413381039841827,0.000609348570473738,0.00417847987794717,-0.0785267851697839,-0.117086827260833,0.148522758981368,0.00957942427879846,0.204607538380357,0.204920768110626,15.4442432056885,0.180831887907143,0,15.1012631183459,6.03013004977946,0,0.0398700491578571,0.179818194749102,0.0975741596589314,0.603593513985478,1.05844595890628,0.0762415897073786,0.595902086928233,0.228054841361041,0.298780491413399,0.000482738732339146,0.00525252904502129,NaN,NaN,NaN,NaN,1.93938346389085,-129.159046213467,1.93571742376909,unstable,unstable,0,0.538360469454415,0.23624919948625,0.143874080801282,0.94882032357359,0.298642292728426
4,2.55140072899056,3,-0.785367959838026,-2.39238422143776,2.55140072899056,-0.0218441293820925,-0.0106070440948091,0.0242832323402553,-0.0387627150745838,-0.294020722192834,0.298907476389964,0.0192807731219843,0.21758682969114,0.219422991949262,15.3626572102803,0.2452777747784,0,13.1317600993285,3.09646906556257,1,0.0771808560274451,0.129040308278765,0.0589137083220245,0.968663993080348,0.779663646989593,0.0615667569628684,0.253957164763364,0.333672846448639,0.454758945133598,0.0245719169214519,0.017575893199577,NaN,NaN,NaN,NaN,2.6973243686687,-107.092406890338,1.71144469845774,unstable,unstable,0,0.724258126120668,0.105386761906171,0.0805441429995475,0.955479761489445,0.251700957133938
5,1.98470132953665,3,-1.11507643125026,-1.60805161982224,1.98470132953665,0.00224133727114277,0.00439590243287548,0.00493432375937922,-0.073784691456754,-0.136984224918567,0.162267074060986,0.0104670289163408,0.209869744450976,0.21083655842935,15.398978743537,0.270159101312725,1,8.42087789492872,9.60419991933598,0,0.0426397484808476,0.0530725470204346,0.0656884101993351,0.67271568834569,1.0337355157254,0.0541775495972884,0.360007440936241,0.139950809981511,0.367607380565805,0.026358721175521,0.0151636653811988,NaN,NaN,NaN,NaN,2.00200400724988,-124.398868862931,1.67653257482929,unstable,unstable,0,0.571420999562311,0.229346826876806,0.154837143453822,0.959503394312226,0.337799640008217
6,1.95582659116096,2.8916540145874,-1.1631533357553,-1.53864059084243,1.95582659116096,0.00618528233684989,0.00510180832406,0.00801786541181598,-0.0774521213711291,-0.129315180168839,0.157528132246722,0.0101804249235533,0.201476836303058,0.202635022103208,15.235887800887,0.337072698140929,1,10.1314080090032,5.2500696996881,1,0.12779812286584,0.121563184213553,0.197351212413768,2.67351027308446,1.32542495972658,0.0460128322874274,0.507541900169665,0.218125213145618,0.604813858915654,3.00005030805489e-13,0.0105716199980927,NaN,NaN,NaN,NaN,1.99661919299708,-125.85580820349,2.12074963969247,stable,stable,1,0.562080762063565,0.212031112263115,0.131062892811854,0.945573378455628,0.30305546082417
7,1.83609979147692,2.58944153785706,-1.07521836418345,-1.47209459894511,1.83609979147692,0.00799329985920924,0.00447164793711063,0.00915906534056288,-0.0647385815300578,-0.115668175952177,0.135660169273801,0.00875452744379473,0.133853437936225,0.134567844555635,15.3964058114316,0.306023117307607,1,5.82689183361853,6.13889077836119,0,0.172267128276209,0.0445402447860967,0.254093485589503,0.830484159953874,1.56261927529048,0.0783584425209033,0.430350291422344,0.105868838468354,0.424094472382915,0.0251174392932456,0.0160439736151457,NaN,NaN,NaN,NaN,1.87426200826755,-126.596930639358,2.4385346279092,unstable,unstable,0,0.516540179971638,0.171181054914635,0.119706111525024,0.942017823176914,0.352947182902954
8,1.98300784709914,3,-1.17750392478763,-1.57044102511914,1.98300784709914,-0.00280273235551764,-0.0122620947186176,0.0125783256256553,-0.0751855298359492,-0.124080496913823,0.15017249353796,0.00969191989272616,0.16121212648185,0.161981809023901,15.3777278128079,0.325435483648695,1,14.6197379273677,5.95244581863063,1,0.107809039185426,0.0742861574324034,0.274198307225988,1.18775744404796,1.36360693476301,0.0675691762156031,0.396121121240515,0.175146623840998,0.467049695457157,0.0265183512441294,0.0166343123031165,NaN,NaN,NaN,NaN,1.95332820371371,-127.202212038542,2.03952810071751,unstable,unstable,0,0.561198454364551,0.231129260767397,0.156512331184215,0.946168977487255,0.322157056070668
9,2.50670202519981,3,-0.773936343136435,-2.35176851536249,2.50670202519981,0.00747422914144516,0.0053766120261311,0.00920717427544226,-0.0403307658285132,-0.291896562308178,0.296645606475957,0.0191784345476822,0.212034289067144,0.21428064185839,15.2354757471216,0.176607974646155,0,6.09226335166732,4.27349728156296,0,0.17605660829913,0.157387607157429,0.231732212935074,3.11201650155173,1.21457534572145,0.0461781669968643,0.154667233145878,0.231703397506222,0.515981786700856,2.67597453461632e-10,0.0331672789692239,NaN,NaN,NaN,NaN,2.74487220964884,-106.758294244659,2.18062821024801,stable,stable,1,0.711310001758295,0.11268002628054,0.0796688446033374,0.942916266272993,0.297020712219457
10,2.01617009416223,2.86792302131653,-1.06509737815101,-1.69655622017957,2.01617009416223,0.00681569615484782,0.00769616800750804,0.0102803071975013,-0.0634080908821674,-0.153504528646918,0.168895618926707,0.0108993673039516,0.143200335700321,0.144091482172215,15.3917395264209,0.197950109374552,0,6.11447948562706,3.78717065386766,0,0.137810587598587,0.128227628343373,0.244351412119955,0.718431454258867,1.62029258858149,0.0805537638801507,0.250487271859992,0.111125910576362,0.423519840115767,0.0253048878043603,0.0156560580250185,NaN,NaN,NaN,NaN,2.05126066309477,-122.211439927127,2.48428408503548,unstable,unstable,0,0.566463654877703,0.193529131595927,0.133057207768592,0.941347429151893,0.350610706410506
