scenario_id,model_updated,n_train,stable_ratio,n_stable,n_unstable,skip_reason,model_path
1,0,1,0,0,0,warmup_before_first_update,
2,0,2,0,0,0,warmup_before_first_update,
3,0,3,0,0,0,warmup_before_first_update,
4,0,4,0,0,0,cadence_skip,
5,0,5,0,0,0,cadence_skip,
6,1,6,0.666666666666667,4,2,,/home/j/INCSL/IICC26_ws/src/sjtu_drone-ros2/matlab/models/autosim_model_20260310_175912_s006.mat
7,0,7,0,0,0,cadence_skip,
8,0,8,0,0,0,cadence_skip,
9,1,9,0.666666666666667,6,3,,/home/j/INCSL/IICC26_ws/src/sjtu_drone-ros2/matlab/models/autosim_model_20260310_180133_s009.mat
10,0,10,0,0,0,cadence_skip,
11,0,11,0,0,0,cadence_skip,
12,1,12,0.75,9,3,,/home/j/INCSL/IICC26_ws/src/sjtu_drone-ros2/matlab/models/autosim_model_20260310_180353_s012.mat
13,0,13,0,0,0,cadence_skip,
14,0,14,0,0,0,cadence_skip,
15,1,15,0.733333333333333,11,4,,/home/j/INCSL/IICC26_ws/src/sjtu_drone-ros2/matlab/models/autosim_model_20260310_180612_s015.mat
16,0,16,0,0,0,cadence_skip,
17,0,17,0,0,0,cadence_skip,
18,1,18,0.777777777777778,14,4,,/home/j/INCSL/IICC26_ws/src/sjtu_drone-ros2/matlab/models/autosim_model_20260310_180831_s018.mat
19,0,19,0,0,0,cadence_skip,
20,0,20,0,0,0,cadence_skip,
21,1,21,0.80952380952381,17,4,,/home/j/INCSL/IICC26_ws/src/sjtu_drone-ros2/matlab/models/autosim_model_20260310_181051_s021.mat
22,0,22,0,0,0,cadence_skip,
23,0,23,0,0,0,cadence_skip,
24,1,24,0.833333333333333,20,4,,/home/j/INCSL/IICC26_ws/src/sjtu_drone-ros2/matlab/models/autosim_model_20260310_181311_s024.mat
25,0,25,0,0,0,cadence_skip,
26,0,26,0,0,0,cadence_skip,
27,0,27,0.851851851851852,23,4,class_imbalance_guard,
28,0,28,0,0,0,cadence_skip,
29,0,29,0,0,0,cadence_skip,
30,1,30,0.833333333333333,25,5,,/home/j/INCSL/IICC26_ws/src/sjtu_drone-ros2/matlab/models/autosim_model_20260310_181817_s030.mat
31,0,31,0,0,0,cadence_skip,
32,0,32,0,0,0,cadence_skip,
33,1,33,0.848484848484849,28,5,,/home/j/INCSL/IICC26_ws/src/sjtu_drone-ros2/matlab/models/autosim_model_20260310_182129_s033.mat
34,0,34,0,0,0,cadence_skip,
35,0,35,0,0,0,cadence_skip,
36,0,36,0.861111111111111,31,5,class_imbalance_guard,
37,0,37,0,0,0,cadence_skip,
38,0,38,0,0,0,cadence_skip,
39,0,39,0.871794871794872,34,5,class_imbalance_guard,
40,0,40,0,0,0,cadence_skip,
41,0,41,0,0,0,cadence_skip,
42,0,42,0.857142857142857,36,6,class_imbalance_guard,
43,0,43,0,0,0,cadence_skip,
44,0,44,0,0,0,cadence_skip,
45,0,45,0.866666666666667,39,6,class_imbalance_guard,
46,0,46,0,0,0,cadence_skip,
47,0,47,0,0,0,cadence_skip,
48,0,48,0.854166666666667,41,7,class_imbalance_guard,
49,0,49,0,0,0,cadence_skip,
50,0,50,0,0,0,cadence_skip,
