scenario_id,gt_safe,pred_land,pred_hover,intervention_case,valid,valid_raw,cum_accuracy,cum_precision,cum_recall,cum_unsafe_landing_rate,cum_f1,mean_confidence
1,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
2,0,0,0,1,0,1,1,NaN,NaN,0,NaN,NaN
3,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
4,0,0,0,1,0,1,1,NaN,NaN,0,NaN,NaN
5,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
6,0,0,0,1,0,1,1,NaN,NaN,0,NaN,NaN
7,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
8,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
9,0,0,0,1,0,1,1,NaN,NaN,0,NaN,NaN
10,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
11,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
12,0,0,0,1,0,1,1,NaN,NaN,0,NaN,NaN
13,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
14,0,0,0,1,0,1,1,NaN,NaN,0,NaN,NaN
15,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
16,0,0,0,1,0,1,1,NaN,NaN,0,NaN,NaN
17,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
18,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
19,0,0,0,1,0,1,1,NaN,NaN,0,NaN,NaN
20,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
21,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
22,0,0,0,1,0,1,1,NaN,NaN,0,NaN,NaN
23,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
24,0,0,0,1,0,1,1,NaN,NaN,0,NaN,NaN
25,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
26,0,0,0,1,0,1,1,NaN,NaN,0,NaN,NaN
27,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
28,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
29,0,0,0,1,0,1,1,NaN,NaN,0,NaN,NaN
30,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
31,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
32,0,0,0,1,0,1,1,NaN,NaN,0,NaN,NaN
33,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
34,0,0,0,1,0,1,1,NaN,NaN,0,NaN,NaN
35,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
36,0,0,0,1,0,1,1,NaN,NaN,0,NaN,NaN
37,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
38,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
39,0,0,0,1,0,1,1,NaN,NaN,0,NaN,NaN
40,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
41,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
42,0,0,0,1,0,1,1,NaN,NaN,0,NaN,NaN
43,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
44,0,0,0,1,0,1,1,NaN,NaN,0,NaN,NaN
45,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
46,0,0,0,1,0,1,1,NaN,NaN,0,NaN,NaN
47,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
48,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
49,0,0,0,1,0,1,1,NaN,NaN,0,NaN,NaN
50,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
51,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
52,0,0,0,1,0,1,1,NaN,NaN,0,NaN,NaN
53,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
54,0,0,0,1,0,1,1,NaN,NaN,0,NaN,NaN
55,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
56,0,0,0,1,0,1,1,NaN,NaN,0,NaN,NaN
57,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
58,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
59,0,0,0,1,0,1,1,NaN,NaN,0,NaN,NaN
60,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
61,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
62,0,0,0,1,0,1,1,NaN,NaN,0,NaN,NaN
63,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
64,0,0,0,1,0,1,1,NaN,NaN,0,NaN,NaN
65,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
66,0,0,0,1,0,1,1,NaN,NaN,0,NaN,NaN
67,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
68,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
69,0,0,0,1,0,1,1,NaN,NaN,0,NaN,NaN
