scenario_id,model_updated,n_train,stable_ratio,n_stable,n_unstable,skip_reason,model_path
1,0,1,0,0,0,warmup_before_first_update,
2,0,2,0,0,0,warmup_before_first_update,
3,0,3,0,0,0,warmup_before_first_update,
4,1,4,0,0,4,,/home/j/INCSL/IICC26_ws/src/sjtu_drone-ros2/matlab/parallel_runs/20260320_201123/output/models/worker_03/autosim_model_20260320_201424_s004.mat
5,0,5,0,0,0,cadence_skip,
6,0,6,0,0,6,class_imbalance_guard,
7,0,7,0,0,0,cadence_skip,
8,0,8,0,0,8,class_imbalance_guard,
9,0,9,0,0,0,cadence_skip,
10,0,10,0,0,10,class_imbalance_guard,
11,0,11,0,0,0,cadence_skip,
12,0,12,0,0,12,class_imbalance_guard,
13,0,13,0,0,0,cadence_skip,
14,0,14,0,0,14,class_imbalance_guard,
15,0,15,0,0,0,cadence_skip,
16,0,16,0,0,16,class_imbalance_guard,
17,0,17,0,0,0,cadence_skip,
18,0,18,0,0,18,class_imbalance_guard,
19,0,19,0,0,0,cadence_skip,
20,1,20,0,0,20,,/home/j/INCSL/IICC26_ws/src/sjtu_drone-ros2/matlab/parallel_runs/20260320_201123/output/models/worker_03/autosim_model_20260320_202335_s020.mat
21,0,21,0,0,0,cadence_skip,
22,0,22,0,0,22,class_imbalance_guard,
23,0,23,0,0,0,cadence_skip,
24,0,24,0,0,24,class_imbalance_guard,
25,0,25,0,0,0,cadence_skip,
26,0,26,0,0,26,class_imbalance_guard,
27,0,27,0,0,0,cadence_skip,
28,0,28,0,0,28,class_imbalance_guard,
29,0,29,0,0,0,cadence_skip,
30,0,30,0,0,30,class_imbalance_guard,
31,0,31,0,0,0,cadence_skip,
32,0,32,0,0,32,class_imbalance_guard,
33,0,33,0,0,0,cadence_skip,
34,0,34,0,0,34,class_imbalance_guard,
35,0,35,0,0,0,cadence_skip,
36,1,36,0,0,36,,/home/j/INCSL/IICC26_ws/src/sjtu_drone-ros2/matlab/parallel_runs/20260320_201123/output/models/worker_03/autosim_model_20260320_203323_s036.mat
37,0,37,0,0,0,cadence_skip,
38,0,38,0,0,38,class_imbalance_guard,
39,0,39,0,0,0,cadence_skip,
40,0,40,0,0,40,class_imbalance_guard,
41,0,41,0,0,0,cadence_skip,
42,0,42,0,0,42,class_imbalance_guard,
43,0,43,0,0,0,cadence_skip,
44,0,44,0,0,44,class_imbalance_guard,
45,0,45,0,0,0,cadence_skip,
46,0,46,0,0,46,class_imbalance_guard,
47,0,47,0,0,0,cadence_skip,
48,0,48,0,0,48,class_imbalance_guard,
49,0,49,0,0,0,cadence_skip,
50,0,50,0,0,50,class_imbalance_guard,
51,0,51,0,0,0,cadence_skip,
52,1,52,0,0,52,,/home/j/INCSL/IICC26_ws/src/sjtu_drone-ros2/matlab/parallel_runs/20260320_201123/output/models/worker_03/autosim_model_20260320_204232_s052.mat
53,0,53,0,0,0,cadence_skip,
54,0,54,0,0,54,class_imbalance_guard,
55,0,55,0,0,0,cadence_skip,
56,0,56,0,0,56,class_imbalance_guard,
57,0,57,0,0,0,cadence_skip,
58,0,58,0,0,58,class_imbalance_guard,
59,0,59,0,0,0,cadence_skip,
60,0,60,0,0,60,class_imbalance_guard,
61,0,61,0,0,0,cadence_skip,
62,0,62,0,0,62,class_imbalance_guard,
63,0,63,0,0,0,cadence_skip,
64,0,64,0,0,64,class_imbalance_guard,
65,0,65,0,0,0,cadence_skip,
66,0,66,0,0,66,class_imbalance_guard,
67,0,67,0,0,0,cadence_skip,
68,1,68,0,0,68,,/home/j/INCSL/IICC26_ws/src/sjtu_drone-ros2/matlab/parallel_runs/20260320_201123/output/models/worker_03/autosim_model_20260320_205206_s068.mat
69,0,69,0,0,0,cadence_skip,
70,0,70,0,0,70,class_imbalance_guard,
71,0,71,0,0,0,cadence_skip,
72,0,72,0,0,72,class_imbalance_guard,
73,0,73,0,0,0,cadence_skip,
74,0,74,0,0,74,class_imbalance_guard,
75,0,75,0,0,0,cadence_skip,
76,0,76,0,0,76,class_imbalance_guard,
77,0,77,0,0,0,cadence_skip,
78,0,78,0,0,78,class_imbalance_guard,
79,0,79,0,0,0,cadence_skip,
80,0,80,0,0,80,class_imbalance_guard,
81,0,81,0,0,0,cadence_skip,
82,0,82,0,0,82,class_imbalance_guard,
83,0,83,0,0,0,cadence_skip,
84,1,84,0,0,84,,/home/j/INCSL/IICC26_ws/src/sjtu_drone-ros2/matlab/parallel_runs/20260320_201123/output/models/worker_03/autosim_model_20260320_210158_s084.mat
85,0,85,0,0,0,cadence_skip,
86,0,86,0,0,86,class_imbalance_guard,
87,0,87,0,0,0,cadence_skip,
88,0,88,0,0,88,class_imbalance_guard,
89,0,89,0,0,0,cadence_skip,
90,0,90,0,0,90,class_imbalance_guard,
91,0,91,0,0,0,cadence_skip,
92,0,92,0,0,92,class_imbalance_guard,
93,0,93,0,0,0,cadence_skip,
94,0,94,0,0,94,class_imbalance_guard,
95,0,95,0,0,0,cadence_skip,
96,0,96,0,0,96,class_imbalance_guard,
97,0,97,0,0,0,cadence_skip,
98,0,98,0,0,98,class_imbalance_guard,
99,0,99,0,0,0,cadence_skip,
100,1,100,0,0,100,,/home/j/INCSL/IICC26_ws/src/sjtu_drone-ros2/matlab/parallel_runs/20260320_201123/output/models/worker_03/autosim_model_20260320_211107_s100.mat
101,0,101,0,0,0,cadence_skip,
102,0,102,0,0,102,class_imbalance_guard,
103,0,103,0,0,0,cadence_skip,
104,0,104,0,0,104,class_imbalance_guard,
105,0,105,0,0,0,cadence_skip,
106,0,106,0,0,106,class_imbalance_guard,
107,0,107,0,0,0,cadence_skip,
108,0,108,0,0,108,class_imbalance_guard,
109,0,109,0,0,0,cadence_skip,
110,0,110,0,0,110,class_imbalance_guard,
111,0,111,0,0,0,cadence_skip,
112,0,112,0,0,112,class_imbalance_guard,
113,0,113,0,0,0,cadence_skip,
114,0,114,0,0,114,class_imbalance_guard,
115,0,115,0,0,0,cadence_skip,
116,1,116,0,0,116,,/home/j/INCSL/IICC26_ws/src/sjtu_drone-ros2/matlab/parallel_runs/20260320_201123/output/models/worker_03/autosim_model_20260320_212122_s116.mat
117,0,117,0,0,0,cadence_skip,
118,0,118,0,0,118,class_imbalance_guard,
119,0,119,0,0,0,cadence_skip,
120,0,120,0,0,120,class_imbalance_guard,
121,0,121,0,0,0,cadence_skip,
122,0,122,0,0,122,class_imbalance_guard,
123,0,123,0,0,0,cadence_skip,
124,0,124,0,0,124,class_imbalance_guard,
125,0,125,0,0,0,cadence_skip,
126,0,126,0,0,126,class_imbalance_guard,
127,0,127,0,0,0,cadence_skip,
128,0,128,0,0,128,class_imbalance_guard,
129,0,129,0,0,0,cadence_skip,
130,0,130,0,0,130,class_imbalance_guard,
131,0,131,0,0,0,cadence_skip,
132,1,132,0,0,132,,/home/j/INCSL/IICC26_ws/src/sjtu_drone-ros2/matlab/parallel_runs/20260320_201123/output/models/worker_03/autosim_model_20260320_213039_s132.mat
133,0,133,0,0,0,cadence_skip,
134,0,134,0,0,134,class_imbalance_guard,
135,0,135,0,0,0,cadence_skip,
136,0,136,0,0,136,class_imbalance_guard,
137,0,137,0,0,0,cadence_skip,
138,0,138,0,0,138,class_imbalance_guard,
139,0,139,0,0,0,cadence_skip,
140,0,140,0,0,140,class_imbalance_guard,
141,0,141,0,0,0,cadence_skip,
142,0,142,0,0,142,class_imbalance_guard,
143,0,143,0,0,0,cadence_skip,
144,0,144,0,0,144,class_imbalance_guard,
145,0,145,0,0,0,cadence_skip,
146,0,146,0,0,146,class_imbalance_guard,
147,0,147,0,0,0,cadence_skip,
148,1,148,0,0,148,,/home/j/INCSL/IICC26_ws/src/sjtu_drone-ros2/matlab/parallel_runs/20260320_201123/output/models/worker_03/autosim_model_20260320_214005_s148.mat
149,0,149,0,0,0,cadence_skip,
150,0,150,0,0,150,class_imbalance_guard,
151,0,151,0,0,0,cadence_skip,
152,0,152,0,0,152,class_imbalance_guard,
153,0,153,0,0,0,cadence_skip,
154,0,154,0,0,154,class_imbalance_guard,
155,0,155,0,0,0,cadence_skip,
156,0,156,0,0,156,class_imbalance_guard,
157,0,157,0,0,0,cadence_skip,
158,0,158,0,0,158,class_imbalance_guard,
159,0,159,0,0,0,cadence_skip,
160,0,160,0,0,160,class_imbalance_guard,
161,0,161,0,0,0,cadence_skip,
162,0,162,0,0,162,class_imbalance_guard,
163,0,163,0,0,0,cadence_skip,
164,1,164,0,0,164,,/home/j/INCSL/IICC26_ws/src/sjtu_drone-ros2/matlab/parallel_runs/20260320_201123/output/models/worker_03/autosim_model_20260320_214955_s164.mat
165,0,165,0,0,0,cadence_skip,
166,0,166,0,0,166,class_imbalance_guard,
167,0,167,0,0,0,cadence_skip,
168,0,168,0,0,168,class_imbalance_guard,
169,0,169,0,0,0,cadence_skip,
170,0,170,0,0,170,class_imbalance_guard,
171,0,171,0,0,0,cadence_skip,
172,0,172,0,0,172,class_imbalance_guard,
173,0,173,0,0,0,cadence_skip,
174,0,174,0,0,174,class_imbalance_guard,
175,0,175,0,0,0,cadence_skip,
176,0,176,0,0,176,class_imbalance_guard,
177,0,177,0,0,0,cadence_skip,
178,0,178,0,0,178,class_imbalance_guard,
179,0,179,0,0,0,cadence_skip,
180,1,180,0,0,180,,/home/j/INCSL/IICC26_ws/src/sjtu_drone-ros2/matlab/parallel_runs/20260320_201123/output/models/worker_03/autosim_model_20260320_215924_s180.mat
181,0,181,0,0,0,cadence_skip,
182,0,182,0,0,182,class_imbalance_guard,
183,0,183,0,0,0,cadence_skip,
184,0,184,0,0,184,class_imbalance_guard,
185,0,185,0,0,0,cadence_skip,
186,0,186,0,0,186,class_imbalance_guard,
187,0,187,0,0,0,cadence_skip,
188,0,188,0,0,188,class_imbalance_guard,
189,0,189,0,0,0,cadence_skip,
190,0,190,0,0,190,class_imbalance_guard,
191,0,191,0,0,0,cadence_skip,
192,0,192,0,0,192,class_imbalance_guard,
193,0,193,0,0,0,cadence_skip,
194,0,194,0,0,194,class_imbalance_guard,
195,0,195,0,0,0,cadence_skip,
196,1,196,0,0,196,,/home/j/INCSL/IICC26_ws/src/sjtu_drone-ros2/matlab/parallel_runs/20260320_201123/output/models/worker_03/autosim_model_20260320_220905_s196.mat
197,0,197,0,0,0,cadence_skip,
198,0,198,0,0,198,class_imbalance_guard,
199,0,199,0,0,0,cadence_skip,
200,0,200,0,0,200,class_imbalance_guard,
201,0,201,0,0,0,cadence_skip,
202,0,202,0,0,202,class_imbalance_guard,
203,0,203,0,0,0,cadence_skip,
204,0,204,0,0,204,class_imbalance_guard,
205,0,205,0,0,0,cadence_skip,
206,0,206,0,0,206,class_imbalance_guard,
207,0,207,0,0,0,cadence_skip,
208,0,208,0,0,208,class_imbalance_guard,
209,0,209,0,0,0,cadence_skip,
210,0,210,0,0,210,class_imbalance_guard,
211,0,211,0,0,0,cadence_skip,
212,1,212,0,0,212,,/home/j/INCSL/IICC26_ws/src/sjtu_drone-ros2/matlab/parallel_runs/20260320_201123/output/models/worker_03/autosim_model_20260320_221829_s212.mat
213,0,213,0,0,0,cadence_skip,
214,0,214,0,0,214,class_imbalance_guard,
215,0,215,0,0,0,cadence_skip,
216,0,216,0,0,216,class_imbalance_guard,
217,0,217,0,0,0,cadence_skip,
218,0,218,0,0,218,class_imbalance_guard,
219,0,219,0,0,0,cadence_skip,
220,0,220,0,0,220,class_imbalance_guard,
221,0,221,0,0,0,cadence_skip,
222,0,222,0,0,222,class_imbalance_guard,
223,0,223,0,0,0,cadence_skip,
224,0,224,0,0,224,class_imbalance_guard,
225,0,225,0,0,0,cadence_skip,
226,0,226,0,0,226,class_imbalance_guard,
227,0,227,0,0,0,cadence_skip,
228,1,228,0,0,228,,/home/j/INCSL/IICC26_ws/src/sjtu_drone-ros2/matlab/parallel_runs/20260320_201123/output/models/worker_03/autosim_model_20260320_222755_s228.mat
229,0,229,0,0,0,cadence_skip,
230,0,230,0,0,230,class_imbalance_guard,
231,0,231,0,0,0,cadence_skip,
232,0,232,0,0,232,class_imbalance_guard,
233,0,233,0,0,0,cadence_skip,
234,0,234,0,0,234,class_imbalance_guard,
235,0,235,0,0,0,cadence_skip,
236,0,236,0,0,236,class_imbalance_guard,
237,0,237,0,0,0,cadence_skip,
238,0,238,0,0,238,class_imbalance_guard,
239,0,239,0,0,0,cadence_skip,
240,0,240,0,0,240,class_imbalance_guard,
241,0,241,0,0,0,cadence_skip,
242,0,242,0,0,242,class_imbalance_guard,
243,0,243,0,0,0,cadence_skip,
244,1,244,0,0,244,,/home/j/INCSL/IICC26_ws/src/sjtu_drone-ros2/matlab/parallel_runs/20260320_201123/output/models/worker_03/autosim_model_20260320_223751_s244.mat
245,0,245,0,0,0,cadence_skip,
246,0,246,0,0,246,class_imbalance_guard,
247,0,247,0,0,0,cadence_skip,
248,0,248,0,0,248,class_imbalance_guard,
249,0,249,0,0,0,cadence_skip,
250,0,250,0,0,250,class_imbalance_guard,
251,0,251,0,0,0,cadence_skip,
252,0,252,0,0,252,class_imbalance_guard,
253,0,253,0,0,0,cadence_skip,
254,0,254,0,0,254,class_imbalance_guard,
255,0,255,0,0,0,cadence_skip,
256,0,256,0,0,256,class_imbalance_guard,
257,0,257,0,0,0,cadence_skip,
258,0,258,0,0,258,class_imbalance_guard,
259,0,259,0,0,0,cadence_skip,
260,1,260,0,0,260,,/home/j/INCSL/IICC26_ws/src/sjtu_drone-ros2/matlab/parallel_runs/20260320_201123/output/models/worker_03/autosim_model_20260320_224802_s260.mat
261,0,261,0,0,0,cadence_skip,
262,0,262,0,0,262,class_imbalance_guard,
263,0,263,0,0,0,cadence_skip,
264,0,264,0,0,264,class_imbalance_guard,
265,0,265,0,0,0,cadence_skip,
266,0,266,0,0,266,class_imbalance_guard,
267,0,267,0,0,0,cadence_skip,
268,0,268,0,0,268,class_imbalance_guard,
269,0,269,0,0,0,cadence_skip,
270,0,270,0,0,270,class_imbalance_guard,
271,0,271,0,0,0,cadence_skip,
272,0,272,0,0,272,class_imbalance_guard,
273,0,273,0,0,0,cadence_skip,
274,0,274,0,0,274,class_imbalance_guard,
275,0,275,0,0,0,cadence_skip,
276,1,276,0,0,276,,/home/j/INCSL/IICC26_ws/src/sjtu_drone-ros2/matlab/parallel_runs/20260320_201123/output/models/worker_03/autosim_model_20260320_225854_s276.mat
277,0,277,0,0,0,cadence_skip,
278,0,278,0,0,278,class_imbalance_guard,
279,0,279,0,0,0,cadence_skip,
280,0,280,0,0,280,class_imbalance_guard,
281,0,281,0,0,0,cadence_skip,
282,0,282,0,0,282,class_imbalance_guard,
283,0,283,0,0,0,cadence_skip,
284,0,284,0,0,284,class_imbalance_guard,
285,0,285,0,0,0,cadence_skip,
286,0,286,0,0,286,class_imbalance_guard,
287,0,287,0,0,0,cadence_skip,
288,0,288,0,0,288,class_imbalance_guard,
289,0,289,0,0,0,cadence_skip,
290,0,290,0,0,290,class_imbalance_guard,
291,0,291,0,0,0,cadence_skip,
292,1,292,0,0,292,,/home/j/INCSL/IICC26_ws/src/sjtu_drone-ros2/matlab/parallel_runs/20260320_201123/output/models/worker_03/autosim_model_20260320_230818_s292.mat
293,0,293,0,0,0,cadence_skip,
294,0,294,0,0,294,class_imbalance_guard,
295,0,295,0,0,0,cadence_skip,
296,0,296,0,0,296,class_imbalance_guard,
297,0,297,0,0,0,cadence_skip,
298,0,298,0,0,298,class_imbalance_guard,
299,0,299,0,0,0,cadence_skip,
300,0,300,0,0,300,class_imbalance_guard,
